Make,Model,Year,Engine Displacement,Cylinders,Transmission,Drivetrain,Vehicle Class,Fuel Type,Fuel Barrels/Year,City MPG,Highway MPG,Combined MPG,CO2 Emission Grams/Mile,Fuel Cost/Year
Acura,MDX 4WD,2012,3.7,6.0,Automatic (S6),All-Wheel Drive,Sport Utility Vehicle - 4WD,Premium,18.311666666666667,16,21,18,493.72222222222223,2250
Acura,RDX 2WD,2012,2.3,4.0,Automatic (S5),Front-Wheel Drive,Sport Utility Vehicle - 2WD,Premium,15.695714285714288,19,24,21,423.19047619047615,1950
Acura,RDX 4WD,2012,2.3,4.0,Automatic (S5),All-Wheel Drive,Sport Utility Vehicle - 4WD,Premium,17.347894736842107,17,22,19,467.73684210526324,2150
Acura,RL,2012,3.7,6.0,Automatic (S6),All-Wheel Drive,Midsize Cars,Premium,16.4805,17,24,20,444.35,2000
Acura,TL 2WD,2012,3.5,6.0,Automatic (S6),Front-Wheel Drive,Midsize Cars,Premium,14.330869565217393,20,29,23,386.39130434782606,1750
Acura,TL 4WD,2012,3.7,6.0,Automatic (S6),All-Wheel Drive,Midsize Cars,Premium,15.695714285714288,18,26,21,423.19047619047615,1950
Acura,TL 4WD,2012,3.7,6.0,Manual 6-spd,All-Wheel Drive,Midsize Cars,Premium,16.4805,17,25,20,444.35,2000
Acura,TSX,2012,2.4,4.0,Manual 6-spd,Front-Wheel Drive,Compact Cars,Premium,13.73375,21,29,24,370.29166666666674,1700
Acura,TSX,2012,2.4,4.0,Automatic (S5),Front-Wheel Drive,Compact Cars,Premium,12.677307692307696,22,31,26,341.8076923076923,1550
Acura,TSX,2012,3.5,6.0,Automatic (S5),Front-Wheel Drive,Compact Cars,Premium,14.330869565217393,19,28,23,386.39130434782606,1750
Acura,TSX Wagon,2012,2.4,4.0,Automatic (S5),Front-Wheel Drive,Small Station Wagons,Premium,13.1844,22,30,25,355.48,1600
Acura,ZDX 4WD,2012,3.7,6.0,Automatic (S6),All-Wheel Drive,Sport Utility Vehicle - 4WD,Premium,17.347894736842107,16,23,19,467.73684210526324,2150
Aston Martin,DB9,2012,5.9,12.0,Automatic (S6),Rear-Wheel Drive,Minicompact Cars,Premium,21.974,13,20,15,592.4666666666667,2700
Aston Martin,DB9,2012,5.9,12.0,Manual 6-spd,Rear-Wheel Drive,Minicompact Cars,Premium,25.354615384615393,11,17,13,683.6153846153846,3100
Aston Martin,DBS,2012,5.9,12.0,Automatic (S6),Rear-Wheel Drive,Minicompact Cars,Premium,23.543571428571425,12,18,14,634.7857142857142,2900
Aston Martin,DBS,2012,5.9,12.0,Manual 6-spd,Rear-Wheel Drive,Minicompact Cars,Premium,25.354615384615393,11,17,13,683.6153846153846,3100
Aston Martin,Rapide,2012,5.9,12.0,Automatic (S6),Rear-Wheel Drive,Subcompact Cars,Premium,21.974,13,19,15,592.4666666666667,2700
Aston Martin,V12 Vantage,2012,5.9,12.0,Manual 6-spd,Rear-Wheel Drive,Two Seaters,Premium,25.354615384615393,11,17,13,683.6153846153846,3100
Aston Martin,V8 Vantage,2012,4.7,8.0,Manual 6-spd,Rear-Wheel Drive,Two Seaters,Premium,21.974,13,19,15,592.4666666666667,2700
Aston Martin,V8 Vantage,2012,4.7,8.0,Auto(AM6),Rear-Wheel Drive,Two Seaters,Premium,20.600625,14,20,16,555.4375,2550
Aston Martin,V8 Vantage,2012,4.7,8.0,Auto(AM7),Rear-Wheel Drive,Two Seaters,Premium,20.600625,14,21,16,555.4375,2550
Aston Martin,V8 Vantage S,2012,4.7,8.0,Auto(AM7),Rear-Wheel Drive,Two Seaters,Premium,20.600625,14,21,16,555.4375,2550
Aston Martin,Virage,2012,5.9,12.0,Automatic (S6),Rear-Wheel Drive,Minicompact Cars,Premium,21.974,13,18,15,592.4666666666667,2700
Audi,A3,2012,2.0,4.0,Automatic (S6),Front-Wheel Drive,Small Station Wagons,Diesel,11.240735294117648,30,42,34,299.4117647058824,1050
Audi,A3,2012,2.0,4.0,Manual 6-spd,Front-Wheel Drive,Small Station Wagons,Premium,13.73375,21,30,24,370.29166666666674,1700
Audi,A3,2012,2.0,4.0,Automatic (S6),Front-Wheel Drive,Small Station Wagons,Premium,13.73375,22,28,24,370.29166666666674,1700
Audi,A3 quattro,2012,2.0,4.0,Automatic (S6),All-Wheel Drive,Small Station Wagons,Premium,13.73375,21,28,24,370.29166666666674,1700
Audi,A4,2012,2.0,4.0,Automatic (AV),Front-Wheel Drive,Compact Cars,Premium,13.1844,22,30,25,355.48,1600
Audi,A4 Avant quattro,2012,2.0,4.0,Automatic (S8),All-Wheel Drive,Small Station Wagons,Premium,13.73375,21,29,24,370.29166666666674,1700
Audi,A4 quattro,2012,2.0,4.0,Automatic (S8),All-Wheel Drive,Compact Cars,Premium,13.73375,21,29,24,370.29166666666674,1700
Audi,A4 quattro,2012,2.0,4.0,Manual 6-spd,All-Wheel Drive,Compact Cars,Premium,13.1844,21,31,25,355.48,1600
Audi,A5 Cabriolet,2012,2.0,4.0,Automatic (AV),Front-Wheel Drive,Subcompact Cars,Premium,13.1844,22,30,25,355.48,1600
Audi,A5 Cabriolet quattro,2012,2.0,4.0,Automatic (S8),All-Wheel Drive,Subcompact Cars,Premium,13.73375,21,29,24,370.29166666666674,1700
Audi,A5 quattro,2012,2.0,4.0,Automatic (S8),All-Wheel Drive,Subcompact Cars,Premium,13.73375,21,29,24,370.29166666666674,1700
Audi,A5 quattro,2012,2.0,4.0,Manual 6-spd,All-Wheel Drive,Subcompact Cars,Premium,13.1844,21,31,25,355.48,1600
Audi,A6,2012,2.0,4.0,Automatic (AV),Front-Wheel Drive,Midsize Cars,Premium,11.771785714285713,25,33,28,317.39285714285717,1450
Audi,A6 quattro,2012,3.0,6.0,Automatic (S8),All-Wheel Drive,Midsize Cars,Premium,14.98227272727273,19,28,22,403.95454545454544,1850
Audi,A7 quattro,2012,3.0,6.0,Automatic (S8),All-Wheel Drive,Midsize Cars,Premium,14.98227272727273,18,28,22,403.95454545454544,1850
Audi,A8,2012,4.2,8.0,Automatic (S8),All-Wheel Drive,Midsize Cars,Premium,15.695714285714288,18,28,21,423.19047619047615,1950
Audi,A8 L,2012,6.3,12.0,Automatic (S8),All-Wheel Drive,Large Cars,Premium,20.600625,14,21,16,555.4375,2550
Audi,A8 L,2012,4.2,8.0,Automatic (S8),All-Wheel Drive,Large Cars,Premium,15.695714285714288,18,28,21,423.19047619047615,1950
Audi,Q5,2012,2.0,4.0,Automatic (S8),All-Wheel Drive,Sport Utility Vehicle - 4WD,Premium,14.98227272727273,20,27,22,403.95454545454544,1850
Audi,Q5,2012,3.2,6.0,Automatic (S6),All-Wheel Drive,Sport Utility Vehicle - 4WD,Premium,16.4805,18,23,20,444.35,2000
Audi,Q7,2012,3.0,6.0,Automatic (S8),All-Wheel Drive,Sport Utility Vehicle - 4WD,Diesel,19.109250000000007,17,25,20,509.0,1800
Audi,Q7,2012,3.0,6.0,Automatic (S8),All-Wheel Drive,Sport Utility Vehicle - 4WD,Premium,18.311666666666667,16,22,18,493.72222222222223,2250
Audi,R8,2012,5.2,10.0,Auto(AM6),All-Wheel Drive,Two Seaters,Premium,21.974,13,19,15,592.4666666666667,2700
Audi,R8,2012,5.2,10.0,Manual 6-spd,All-Wheel Drive,Two Seaters,Premium,23.543571428571425,12,19,14,634.7857142857142,2900
Audi,R8,2012,4.2,8.0,Auto(AM6),All-Wheel Drive,Two Seaters,Premium,20.600625,13,21,16,555.4375,2550
Audi,R8,2012,4.2,8.0,Manual 6-spd,All-Wheel Drive,Two Seaters,Premium,23.543571428571425,11,20,14,634.7857142857142,2900
Audi,R8 Spyder,2012,5.2,10.0,Auto(AM6),All-Wheel Drive,Two Seaters,Premium,21.974,13,19,15,592.4666666666667,2700
Audi,R8 Spyder,2012,5.2,10.0,Manual 6-spd,All-Wheel Drive,Two Seaters,Premium,23.543571428571425,12,19,14,634.7857142857142,2900
Audi,R8 Spyder,2012,4.2,8.0,Auto(AM6),All-Wheel Drive,Two Seaters,Premium,20.600625,13,21,16,555.4375,2550
Audi,R8 Spyder,2012,4.2,8.0,Manual 6-spd,All-Wheel Drive,Two Seaters,Premium,23.543571428571425,11,20,14,634.7857142857142,2900
Audi,S4,2012,3.0,6.0,Automatic (S7),All-Wheel Drive,Compact Cars,Premium,15.695714285714288,18,28,21,423.19047619047615,1950
Audi,S4,2012,3.0,6.0,Manual 6-spd,All-Wheel Drive,Compact Cars,Premium,15.695714285714288,18,27,21,423.19047619047615,1950
Audi,S5,2012,4.2,8.0,Automatic (S6),All-Wheel Drive,Subcompact Cars,Premium,17.347894736842107,16,24,19,467.73684210526324,2150
Audi,S5,2012,4.2,8.0,Manual 6-spd,All-Wheel Drive,Subcompact Cars,Premium,19.388823529411766,14,22,17,522.7647058823529,2400
Audi,S5 Cabriolet,2012,3.0,6.0,Automatic (S7),All-Wheel Drive,Subcompact Cars,Premium,16.4805,17,26,20,444.35,2000
Audi,TT Coupe quattro,2012,2.0,4.0,Automatic (S6),All-Wheel Drive,Subcompact Cars,Premium,12.677307692307696,23,31,26,341.8076923076923,1550
Audi,TT RS Coupe,2012,2.5,5.0,Manual 6-spd,All-Wheel Drive,Subcompact Cars,Premium,16.4805,18,25,20,444.35,2000
Audi,TT Roadster quattro,2012,2.0,4.0,Automatic (S6),All-Wheel Drive,Two Seaters,Premium,12.677307692307696,23,31,26,341.8076923076923,1550
BMW,128ci Convertible,2012,3.0,6.0,Automatic (S6),Rear-Wheel Drive,Subcompact Cars,Premium,15.695714285714288,18,27,21,423.19047619047615,1950
BMW,128ci Convertible,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,14.98227272727273,18,28,22,403.95454545454544,1850
BMW,128i,2012,3.0,6.0,Automatic (S6),Rear-Wheel Drive,Subcompact Cars,Premium,15.695714285714288,18,28,21,423.19047619047615,1950
BMW,128i,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,14.98227272727273,18,28,22,403.95454545454544,1850
BMW,135i,2012,3.0,6.0,Automatic (S7),Rear-Wheel Drive,Subcompact Cars,Premium,15.695714285714288,18,25,21,423.19047619047615,1950
BMW,135i,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,14.330869565217393,20,28,23,386.39130434782606,1750
BMW,135i Convertible,2012,3.0,6.0,Automatic (S7),Rear-Wheel Drive,Subcompact Cars,Premium,16.4805,18,25,20,444.35,2000
BMW,135i Convertible,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,14.98227272727273,19,28,22,403.95454545454544,1850
BMW,328ci Convertible,2012,3.0,6.0,Automatic (S6),Rear-Wheel Drive,Subcompact Cars,Premium,15.695714285714288,18,27,21,423.19047619047615,1950
BMW,328ci Convertible,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,16.4805,17,26,20,444.35,2000
BMW,328i,2012,2.0,4.0,Automatic (S8),Rear-Wheel Drive,Compact Cars,Premium,12.677307692307696,23,33,26,341.8076923076923,1550
BMW,328i,2012,2.0,4.0,Manual 6-spd,Rear-Wheel Drive,Compact Cars,Premium,12.207777777777775,23,34,27,329.1481481481481,1500
BMW,328i Coupe,2012,3.0,6.0,Automatic (S6),Rear-Wheel Drive,Subcompact Cars,Premium,15.695714285714288,18,28,21,423.19047619047615,1950
BMW,328i Coupe,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,14.98227272727273,18,28,22,403.95454545454544,1850
BMW,328i Coupe xDrive,2012,3.0,6.0,Automatic (S6),All-Wheel Drive,Subcompact Cars,Premium,16.4805,17,25,20,444.35,2000
BMW,328i Coupe xDrive,2012,3.0,6.0,Manual 6-spd,All-Wheel Drive,Subcompact Cars,Premium,16.4805,17,25,20,444.35,2000
BMW,328i Sport Wagon,2012,3.0,6.0,Automatic (S6),Rear-Wheel Drive,Small Station Wagons,Premium,15.695714285714288,18,27,21,423.19047619047615,1950
BMW,328i Sport Wagon,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Small Station Wagons,Premium,16.4805,17,26,20,444.35,2000
BMW,328i xDrive Sport Wagon,2012,3.0,6.0,Automatic (S6),All-Wheel Drive,Small Station Wagons,Premium,16.4805,17,25,20,444.35,2000
BMW,328i xDrive Sport Wagon,2012,3.0,6.0,Manual 6-spd,All-Wheel Drive,Small Station Wagons,Premium,16.4805,17,25,20,444.35,2000
BMW,335ci Convertible,2012,3.0,6.0,Automatic (S6),Rear-Wheel Drive,Subcompact Cars,Premium,14.98227272727273,18,28,22,403.95454545454544,1850
BMW,335ci Convertible,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,14.98227272727273,19,28,22,403.95454545454544,1850
BMW,335i,2012,3.0,6.0,Automatic (S8),Rear-Wheel Drive,Compact Cars,Premium,12.677307692307696,23,33,26,341.8076923076923,1550
BMW,335i,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Compact Cars,Premium,14.330869565217393,20,30,23,386.39130434782606,1750
BMW,335i Coupe,2012,3.0,6.0,Automatic (S6),Rear-Wheel Drive,Subcompact Cars,Premium,14.98227272727273,18,28,22,403.95454545454544,1850
BMW,335i Coupe,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,14.98227272727273,19,28,22,403.95454545454544,1850
BMW,335i Coupe xDrive,2012,3.0,6.0,Automatic (S6),All-Wheel Drive,Subcompact Cars,Premium,15.695714285714288,18,27,21,423.19047619047615,1950
BMW,335i Coupe xDrive,2012,3.0,6.0,Manual 6-spd,All-Wheel Drive,Subcompact Cars,Premium,14.98227272727273,19,27,22,403.95454545454544,1850
BMW,335is Convertible,2012,3.0,6.0,Automatic (S7),Rear-Wheel Drive,Subcompact Cars,Premium,17.347894736842107,17,24,19,467.73684210526324,2150
BMW,335is Convertible,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,15.695714285714288,18,26,21,423.19047619047615,1950
BMW,335is Coupe,2012,3.0,6.0,Automatic (S7),Rear-Wheel Drive,Subcompact Cars,Premium,17.347894736842107,17,24,19,467.73684210526324,2150
BMW,335is Coupe,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Subcompact Cars,Premium,15.695714285714288,18,26,21,423.19047619047615,1950
BMW,528i,2012,2.0,4.0,Automatic 8-spd,Rear-Wheel Drive,Midsize Cars,Premium,12.207777777777775,23,34,27,329.1481481481481,1500
BMW,528i xDrive,2012,2.0,4.0,Automatic 8-spd,All-Wheel Drive,Midsize Cars,Premium,12.677307692307696,22,32,26,341.8076923076923,1550
BMW,535i,2012,3.0,6.0,Automatic (S8),Rear-Wheel Drive,Midsize Cars,Premium,13.73375,20,30,24,370.29166666666674,1700
BMW,535i,2012,3.0,6.0,Manual 6-spd,Rear-Wheel Drive,Midsize Cars,Premium,14.330869565217393,20,30,23,386.39130434782606,1750
BMW,535i Gran Turismo,2012,3.0,6.0,Automatic (S8),Rear-Wheel Drive,Large Cars,Premium,14.98227272727273,19,28,22,403.95454545454544,1850
BMW,535i xDrive,2012,3.0,6.0,Automatic (S8),All-Wheel Drive,Midsize Cars,Premium,13.73375,21,30,24,370.29166666666674,1700
BMW,535i xDrive Gran Turismo,2012,3.0,6.0,Automatic (S8),All-Wheel Drive,Large Cars,Premium,15.695714285714288,18,27,21,423.19047619047615,1950
BMW,550i,2012,4.4,8.0,Automatic (S8),Rear-Wheel Drive,Midsize Cars,Premium,18.311666666666667,15,23,18,493.72222222222223,2250
BMW,550i,2012,4.4,8.0,Manual 6-spd,Rear-Wheel Drive,Midsize Cars,Premium,19.388823529411766,15,22,17,522.7647058823529,2400
BMW,550i Gran Turismo,2012,4.4,8.0,Automatic (S8),Rear-Wheel Drive,Large Cars,Premium,18.311666666666667,15,22,18,493.72222222222223,2250
BMW,550i xDrive,2012,4.4,8.0,Automatic (S8),All-Wheel Drive,Midsize Cars,Premium,19.388823529411766,15,20,17,522.7647058823529,2400
BMW,550i xDrive Gran Turismo,2012,4.4,8.0,Automatic (S8),All-Wheel Drive,Large Cars,Premium,19.388823529411766,15,19,17,522.7647058823529,2400
BMW,640i Convertible,2012,3.0,6.0,Automatic (S8),Rear-Wheel Drive,Compact Cars,Premium,13.73375,20,30,24,370.29166666666674,1700
BMW,640i Coupe,2012,3.0,6.0,Automatic (S8),Rear-Wheel Drive,Compact Cars,Premium,12.677307692307696,23,33,26,341.8076923076923,1550
BMW,650i Convertible,2012,4.4,8.0,Automatic (S8),Rear-Wheel Drive,Compact Cars,Premium,18.311666666666667,15,23,18,493.72222222222223,2250
BMW,650i Convertible,2012,4.4,8.0,Manual 6-spd,Rear-Wheel Drive,Compact Cars,Premium,19.388823529411766,15,22,17,522.7647058823529,2400
BMW,650i Convertible xDrive,2012,4.4,8.0,Automatic (S8),All-Wheel Drive,Compact Cars,Premium,19.388823529411766,15,19,17,522.7647058823529,2400
BMW,650i Coupe,2012,4.4,8.0,Automatic (S8),Rear-Wheel Drive,Compact Cars,Premium,18.311666666666667,15,23,18,493.72222222222223,2250
BMW,650i Coupe,2012,4.4,8.0,Manual 6-spd,Rear-Wheel Drive,Compact Cars,Premium,19.388823529411766,15,22,17,522.7647058823529,2400
BMW,650i Coupe xDrive,2012,4.4,8.0,Automatic (S8),All-Wheel Drive,Compact Cars,Premium,19.388823529411766,15,20,17,522.7647058823529,2400
BMW,740Li,2012,3.0,6.0,Automatic (S6),Rear-Wheel Drive,Large Cars,Premium,16.4805,17,25,20,444.35,2000
BMW,740i,2012,3.0,6.0,Automatic (S6),Rear-Wheel Drive,Large Cars,Premium,16.4805,17,25,20,444.35,2000
BMW,750Li,2012,4.4,8.0,Automatic (S6),Rear-Wheel Drive,Large Cars,Premium,19.388823529411766,14,22,17,522.7647058823529,2400
BMW,750Li xDrive,2012,4.4,8.0,Automatic (S6),All-Wheel Drive,Large Cars,Premium,20.600625,14,20,16,555.4375,2550
